,Story,Consequence coins,Condition coins current city,Consequence temperature (for all)
Categoria-Cor,História,Consequência,,
Cinza,Ondas extremas de calor atingiram toda a região do Equador. Isso também contribuiu para incendios florestais e morte de corais.,-30,,0.75
Cinza,O clima global está tão desequilibrado que pessoas em todo mundo estão morrendo ou tendo graves dificuldades com o calor e eventos ambientais extremos.,-40,,
Cinza,Tufões e furacões estão mais intensos devido ao aumento da temperatura. Várias pessoas perderam suas vidas e cidades foram dizimadas.,-45,,
Cinza,"Aquecimento global dificulta a plantação de vários alimentos, causando encarecimento absurdo de alimentos e fome global.",-40,,
Cinza,"Devido as altas temperaturas, corais de todo o mundo estão embranquecendo causando um efeito em cadeia em toda vida marinha.",-25,,0.75
Cinza,Geleiras enormes estão derretendo aos montes e com as altas temperaturas o nível do mar está aumentando rapidamente causando enchentes e um efeito em cadeia.,-32,,0.75
Cinza,Viver em megalópoles está impossível com a temperatura tão elevada. A quantidade de imigrantes climáticos chegou a 350 milhões de pessoas.,-52,,
Cinza,O derretimento das calotas polares está liberando uma grande quantidade de metano que se encontrava preso debaixo do mar do Ártico. O metano é um gás com um efeito estufa 20 vezes mais forte que o CO2.,,,0.75
Cinza,"Incêndios massivos ocorrem em vários pontos ao redor do globo. Pessoas, animais e florestas estão sendo dizimados e outros muitos sendo seriamente ameaçados.",-30,,0.75
Cinza,Secas de 10 meses dificultam a continuação de todas as atividades.,-50,,
Cinza,"A acidificação dos oceanos causada pela imensa quantidade de CO2 na atmosfera está matando a vida marinhas. O mar, o verdadeiro pulmão do mundo, está perdendo sua capacidade de absorção de CO2. ",-20,,0.75
Vermelho,"Graves secas em Bagdá, CasaBlanca, Jerusalém e Dubai.",-15,Jerusalém;Bagdá;Dubai;Casablanca,0.5
Vermelho,Com o frio uma nuvem de poluição tóxica causa risco de vida em toda a Ásia e isso prejudicou também o comércio global.,-18,,0.75
Vermelho,Enchente em todas as cidades da Europa.,-15,Londres;Berlim;Madri;Helsinque;Paris;Roma;Moscou,
Vermelho,"O nível dos mares está aumentando, as ilhas maldivas, local onde os maiores CEO’s do mundo (os jogadores) marcaram de passar as férias, foi engolido pela água. ",-10,,
Vermelho,"O mundo está tendo dificuldades com a agricultura por causa da mudança climática. Os jantares corporativos ficaram mais caros, todos devem pagar caro para comer um miojo.",-12,,0.5
