id,Atividade,"Tempo de Retorno 
(em segundos)","Investimento 
(em moedas)",# Perguntas de sustentabilidade,Recompensa História,Moedas,Token do conhecimento,Aumento de Temperatura
1,Pesquisa sobre microplásticos em ecossistemas próximos às geleiras,480,15,4,Parabéns! Você realizou uma pesquisa muito importante!,16,2,0
2,Instalação de parque eólico e solar no deserto,720,15,5,O seu projeto fez com que várias usinas de carvão fossem desativadas!,25,1,0
3,Projeto de educação sobre lixo marinho para as escolas e para a comunidade de surf mundial,480,5,3,A Indonésia é o segundo país que mais produz lixos plásticos do mundo! As competições de surf no país passaram a ficam mais limpas desde que seu projeto começou! ,12,1,0
4,Construção de cantina escolar feita com material reciclado,720,8,4,"Mais de 1,4 milhões de embalagens foram usadas. Isso passou incentivar não só as crianças a reciclarem mas outras instituições também.",12,1,0
5,Construção de um código de ética de sustentabilidade em empresas de software,720,10,4,Parabéns! Agora as empresas de software sabem como agir em relação a produção de software sustentável! ,20,1,0
6,Mineração de criptomoedas,720,15,4,"Você fez muito dinheiro! Mas essa atividade demanda muita energia elétrica e, infelizmente, a  fonte de energia local é a base de combustíveis fósseis.",45,0,0.75
7,Criação de um app de brechó online internacional,480,8,3,As vendas estão um sucesso! A indústria da moda é muito poluente mas a economia circular fez você conquistar dinheiro e sustentabilidade!,18,1,0
8,Desenvolvimento de jogo sobre sustentabilidade,480,5,5,"Parabéns, realizou um projeto muito importante!",7,2,0
9,Criação de mil cabeças de gado,720,15,3,Você fez muito dinheiro! Entretanto você desmatou muito o cerrado para abrir o pasto.,40,0,0.5
10,Projeto de horta comunitária realizada em pequenos espaços de grandes cidades,480,7,4,"Parabéns, realizou um projeto muito importante!",12,1,0
11,Desenvolvimento de tijolos ecológicos feitos de materiais reciclados,720,7,3,"Parabéns, realizou um projeto muito importante!",14,1,0
12,Programa de reutilização e reciclagem de garrafas plásticas,480,4,3,"Parabéns, você evitou que ainda mais plástico poluísse o meio ambiente!",10,1,0
13,Construção de casas de garrafa PET,720,8,3,O mar receberá menos plásticos e a comunidade receberá mais casas por causa de seu projeto! Parabéns pela iniciativa.,15,1,0
14,Projeto de conscientização ambiental por meio da arte,480,6,4,Parabéns! Muitas pessoas foram sensibilizadas sobre a urgência de se agir nas questões ambientais!,12,2,0
15,Projeto para o desenvolvimento de couro feito a base de cactos,480,8,4,"As vendas estão um sucesso! A produção de couro de animais pode ser muito cruel. Graças a sua invenção, muitas vidas foram salvas! ",28,1,0
