Pergunta,Resposta
O reflorestamento é uma estratégia eficaz para reduzir o efeito estufa.,V
As algas são responsáveis pela produção de cerca de 50% do oxigênio que respiramos.,V
A pegada de carbono mede as emissões de gases de efeito estufa originadas da atividade humana.,V
A pegada hídrica mede as quantidade de água potável suficiente para produzir um alimento ou mercadoria.,V
"A colonização europeia aconteceu a centenas de anos, então não existem mais nenhuma consequência dela para a conservação do meio ambiente.",F
Somente 2 °C de aumento na temperatura média global não são assim tão relevantes para a vida na Terra.,V
Os outros animais não sentem nenhuma consequência do aquecimento global.,V
A internet e toda a infraestrutura necessária para mantê-la são os maiores consumidores de energia no contexto da tecnologia da informação.,V
O plástico leva cerca de 400 anos para se decompor na natureza.,V
Um problema ambiental advindo da tecnologia da informação está relacionado à extração de recursos naturais para fabricação dos equipamentos eletrônicos.,V
"Os materiais eletrônicos podem conter mais de mil substâncias diferentes, algumas são identificadas como metais preciosos, outras são tóxicas e compõem a família dos metais pesados.",V
São exemplos de metais preciosos encontrados no lixo eletrônico o ouro e o cobre.,V
"São exemplos de metais pesados encontrados no lixo eletrônico o chumbo, o mercúrio, o arsênio e o cádmio.",V
"70% dos metais pesados encontrados nos aterros dos EUA vem de equipamentos eletrônicos, pilhas e baterias.",V
O lixo eletrônico é um termo genérico que se aplica a qualquer equipamento eletrônico que teoricamente tenha alcançado o final da sua vida útil.,V
No mundo são geradas anualmente 40 milhões de toneladas de lixo eletrônico.,V
Empresas sustentáveis podem ser mais valorizadas no mercado e mais escolhidas pelos clientes exatamente por esta imagem. Isso é conhecido como green washing.,F
É impossível uma empresa ser lucrativa e sustentável.,F
O sul global é o pricipal responsável pelo aquecimento global.,F
As principais causas do aquecimento global são a atividade vulcânica e as erupções solares.,F
O efeito estufa é um processo natural que mantém a temperatura da Terra habitável.,V
As principais causas do aquecimento global são a atividade humana e a emissão de gases de efeito estufa.,V
O aumento do nível do mar é uma das principais consequências do aquecimento global.,V
O derretimento das calotas polares não causa o aumento do nível do mar.,F
O Brasil é um dos países que mais contribuem para o aquecimento global.,F
A energia solar é uma fonte de energia renovável e sustentável.,V
O consumo excessivo de carne é um dos principais fatores que contribuem para o aquecimento global.,V
A agricultura industrial é um dos principais responsáveis pelo desmatamento e pela degradação do solo.,V
A pesca predatória está ameaçando a biodiversidade marinha.,V
As empresas têm a responsabilidade de reduzir seu impacto ambiental.,V
Os governos têm a responsabilidade de implementar políticas públicas que incentivem a sustentabilidade.,V
A educação ambiental é fundamental para a conscientização da população sobre a importância da sustentabilidade.,V
O aquecimento global não tem relação nenhuma com o numero ou intensidade de furacões,F
A biodiversidade é essencial para o equilíbrio ecológico do planeta.,V
A perda de biodiversidade é uma das principais ameaças ao planeta.,V
As mudanças climáticas estão causando eventos climáticos extremos cada vez mais frequentes e intensos.,V
A adaptação às mudanças climáticas é fundamental para reduzir seus impactos negativos.,V
A mitigação das mudanças climáticas é necessária para evitar seus piores impactos.,V
É possível reverter o aquecimento global e suas todas as suas consequências.,F
O tempo para começar a agir quanto o aquecimento global é a partir as próximas décadas.,F
As pequenas ações se somam e podem gerar grandes mudanças.,V
O norte global é o maior responsável pelo aumento da temperatura global.,V
A sustentabilidade é a chave para o futuro do planeta.,V
A economia verde é uma oportunidade para o desenvolvimento sustentável.,V
A tecnologia pode ser uma ferramenta poderosa para a sustentabilidade.,V
A mudança de mentalidade é fundamental para a construção de um futuro mais sustentável.,V
"O aquecimento global e as mudanças climáticas são somente eventos naturais da Terra, como a era do gelo.",F
O aquecimento global começou na revolução industrial.,V
